koc_id,high_or_low,cat,follower_count,anxiety_score,view,like,collect,comments,share,is_commercial,quote_video,video_cpe,video_cpm,quote_post,post_cpe,post_cpm
LXSJ_33,low,budy_building,75200,0,3325,198,32,31,4,0,10000.00,37.63,2695.24,8000.00,17.17,1128.19
LXSJ_33,low,budy_building,75200,1,7091,345,15,105,11,0,10000.00,37.63,2695.24,8000.00,17.17,1128.19
LXSJ_33,low,budy_building,75200,1,4252,247,53,41,3,0,10000.00,37.63,2695.24,8000.00,17.17,1128.19
LXSJ_33,low,budy_building,75200,3,3743,125,26,74,3,1,10000.00,37.63,2695.24,8000.00,17.17,1128.19
LXSJ_33,low,budy_building,75200,3,4099,208,27,52,7,1,10000.00,37.63,2695.24,8000.00,17.17,1128.19
LXSJ_33,low,budy_building,75200,1,3017,98,52,39,9,0,10000.00,37.63,2695.24,8000.00,17.17,1128.19
LXSJ_33,low,budy_building,75200,1,7091,345,15,105,24,0,10000.00,37.63,2695.24,8000.00,17.17,1128.19
LXSJ_33,low,budy_building,75200,0,4252,247,53,54,9,0,10000.00,37.63,2695.24,8000.00,17.17,1128.19
LXSJ_33,low,budy_building,75200,3,3743,109,27,69,8,1,10000.00,37.63,2695.24,8000.00,17.17,1128.19
LXSJ_33,low,budy_building,75200,3,4099,218,31,48,7,1,10000.00,37.63,2695.24,8000.00,17.17,1128.19
420496627,low,budy_building,50700,3,474,19,0,6,3,0,7000.00,0.11,9.07,4500.00,9.72,828.42
420496627,low,budy_building,50700,3,1445,119,6,5,1,1,7000.00,0.11,9.07,4500.00,9.72,828.42
420496627,low,budy_building,50700,1,7540,221,12,42,111,0,7000.00,0.11,9.07,4500.00,9.72,828.42
420496627,low,budy_building,50700,0,4609000,363000,8927,4163,20000,0,7000.00,0.11,9.07,4500.00,9.72,828.42
420496627,low,budy_building,50700,0,6642,300,281,11,26,0,7000.00,0.11,9.07,4500.00,9.72,828.42
420496627,low,budy_building,50700,3,5432,424,29,10,16,1,7000.00,0.11,9.07,4500.00,9.72,828.42
420496627,low,budy_building,50700,1,4886,408,19,12,6,0,7000.00,0.11,9.07,4500.00,9.72,828.42
420496627,low,budy_building,50700,0,6113,300,281,11,26,0,7000.00,0.11,9.07,4500.00,9.72,828.42
420496627,low,budy_building,50700,3,5032,386,69,27,16,1,7000.00,0.11,9.07,4500.00,9.72,828.42
420496627,low,budy_building,50700,1,986,208,11,12,4,0,7000.00,0.11,9.07,4500.00,9.72,828.42
FitMoMo,low,budy_building,321600,1,9849,370,539,17,31,0,18000.00,21.90,1453.75,9000.00,0.00,0.00
FitMoMo,low,budy_building,220000,0,27000,786,1513,45,156,1,18000.00,21.90,1453.75,9000.00,0.00,0.00
FitMoMo,low,budy_building,220000,0,4067,248,12,15,28,0,18000.00,21.90,1453.75,9000.00,0.00,0.00
FitMoMo,low,budy_building,220000,1,4502,169,169,3,36,0,18000.00,21.90,1453.75,9000.00,0.00,0.00
FitMoMo,low,budy_building,220000,3,58000,1619,1329,38,814,1,18000.00,21.90,1453.75,9000.00,0.00,0.00
