koc_id,high_or_low,cat,follower_count,anxiety_score,view,like,collect,comments,share,is_commercial,quote,quote_video,video_cpe,video_cpm,quote_post,post_cpe,post_cpm
LXSJ_33,low,budy_building,75200,0,"3,325",198,32,31,4,0,"视频报价历史报价
达人报价
1.0w
CPE
37.63
CPM
2695.24
图文报价历史报价
达人报价
8,000
CPE
17.17
CPM
1128.19",10000,37.63,2695.24,8000,17.17,1128.19
LXSJ_33,low,budy_building,75200,1,"7,091",345,15,105,11,0,,,,,,,
LXSJ_33,low,budy_building,75200,1,"4,252",247,53,41,3,0,,,,,,,
LXSJ_33,low,budy_building,75200,3,"3,743",125,26,74,3,1,,,,,,,
LXSJ_33,low,budy_building,75200,3,"4,099",208,27,52,7,1,,,,,,,
LXSJ_33,low,budy_building,75200,1,"3,017",98,52,39,9,0,,,,,,,
LXSJ_33,low,budy_building,75200,1,"7,091",345,15,105,24,0,,,,,,,
LXSJ_33,low,budy_building,75200,0,"4,252",247,53,54,9,0,,,,,,,
LXSJ_33,low,budy_building,75200,3,"3,743",109,27,69,8,1,,,,,,,
LXSJ_33,low,budy_building,75200,3,"4,099",218,31,48,7,1,,,,,,,
420496627,low,budy_building,50700,3,474,19,0,6,3,0,"视频报价历史报价
达人报价
7,000
CPE
0.11
CPM
9.07
图文报价历史报价
达人报价
4,500
CPE
9.72
CPM
828.42",7000,0.11,9.07,4500,9.72,828.42
420496627,low,budy_building,50700,3,"1,445",119,6,5,1,1,,,,,,,
420496627,low,budy_building,50700,1,"7,540",221,12,42,111,0,,,,,,,
420496627,low,budy_building,50700,0,460.9w,36.3w,"8,927","4,163",2.0w,0,,,,,,,
420496627,low,budy_building,50700,0,"6,642",300,281,11,26,0,,,,,,,
420496627,low,budy_building,50700,3,"5,432",424,29,10,16,1,,,,,,,
420496627,low,budy_building,50700,1,"4,886",408,19,12,6,0,,,,,,,
420496627,low,budy_building,50700,0,"6,113",300,281,11,26,0,,,,,,,
420496627,low,budy_building,50700,3,"5,032",386,69,27,16,1,,,,,,,
420496627,low,budy_building,50700,1,986,208,11,12,4,0,,,,,,,
FitMoMo,low,budy_building,321600,1,"9,849",370,539,17,31,0,"视频报价历史报价
达人报价
1.8w
CPE
21.90
CPM
1453.75
图文报价历史报价
达人报价
9,000
CPE
0.00
CPM
0.00",1.8w 21.90 1453.75 9000 0.00 0.00,,,,,
FitMoMo,low,budy_building,220000,0,2.7w,786,"1,513",45,156,1,,,,,,,
FitMoMo,low,budy_building,220000,0,"4,067",248,12,15,28,0,,,,,,,
FitMoMo,low,budy_building,220000,1,"4,502",169,169,3,36,0,,,,,,,
FitMoMo,low,budy_building,220000,3,5.8w,"1,619","1,329",38,814,1,,,,,,,
FitMoMo,low,budy_building,220000,1,"3,044",149,110,5,13,0,,,,,,,
FitMoMo,low,budy_building,220000,1,"2,237",89,40,6,23,1,,,,,,,
FitMoMo,low,budy_building,220000,1,838,34,28,4,4,0,,,,,,,
FitMoMo,low,budy_building,220000,3,1.1w,523,117,44,99,0,,,,,,,
FitMoMo,low,budy_building,220000,1,"2,922",133,59,5,26,1,,,,,,,
YIX39868390,low,budy_building,69800,3,2.3w,885,870,9,185,0,"视频报价历史报价
达人报价
2,800
CPE
0.92
CPM
75.08
图文报价历史报价
达人报价
1,000
CPE
0.00
CPM
0.00",2800 0.92 75.08 1000 0.00 0.00,,,,,
YIX39868390,low,budy_building,69800,0,"1,201",72,26,0,7,0,,,,,,,
YIX39868390,low,budy_building,69800,1,1.8w,994,487,7,97,0,,,,,,,
YIX39868390,low,budy_building,69800,1,4.7w,"2,035","1,832",16,283,0,,,,,,,
YIX39868390,low,budy_building,69800,0,"3,681",182,160,6,9,0,,,,,,,
YIX39868390,low,budy_building,69800,3,"9,876",357,371,20,72,0,,,,,,,
YIX39868390,low,budy_building,69800,1,16.6w,1.2w,"3,296",402,255,0,,,,,,,
YIX39868390,low,budy_building,69800,1,20.4w,"8,280","7,279",153,"1,530",0,,,,,,,
YIX39868390,low,budy_building,69800,1,3.6w,"1,678","1,468",41,140,0,,,,,,,
YIX39868390,low,budy_building,69800,1,"6,075",251,178,11,48,0,,,,,,,
945924693,low,budy_building,85700,3,1.2w,715,275,32,,0,"视频报价历史报价
达人报价
980
CPE
0.23
CPM
26.81
图文报价历史报价
达人报价
714
CPE
0.66
CPM
70.31",980 0.23 26.81 714 0.66 70.31,,,,,
945924693,low,budy_building,85700,3,1.1w,744,261,21,24,0,,,,,,,
945924693,low,budy_building,85700,1,989,40,11,12,4,1,,,,,,,
945924693,low,budy_building,85700,1,"2,630",164,51,11,6,0,,,,,,,
945924693,low,budy_building,85700,1,"4,341",283,103,12,7,0,,,,,,,
945924693,low,budy_building,85700,3,4.0w,"2,624",447,71,197,0,,,,,,,
945924693,low,budy_building,85700,1,"6,538",378,144,39,10,0,,,,,,,
945924693,low,budy_building,85700,1,"3,832",255,96,10,4,0,,,,,,,
945924693,low,budy_building,85700,1,1.9w,"1,322",458,29,33,0,,,,,,,
945924693,low,budy_building,85700,3,25.3w,1.6w,"4,742",205,"1,128",1,,,,,,,
990226zr,low,budy_building,64000,3,766,51,7,4,2,0,,,,,,,
990226zr,low,budy_building,64000,1,"1,238",54,2,22,1,0,"视频报价历史报价
达人报价
1.0w
CPE
3.60
CPM
245.12
图文报价历史报价
达人报价
5,500
CPE
0.00
CPM
0.00",1.0w 3.60 245.12 5500 0.00 0.00,,,,,
990226zr,low,budy_building,64000,1,"2,127",96,29,19,10,0,,,,,,,
990226zr,low,budy_building,64000,3,2.5w,559,32,28,5,0,,,,,,,
990226zr,low,budy_building,64000,3,25.1w,"6,155","1,125",353,269,1,,,,,,,
990226zr,low,budy_building,64000,3,1.1w,351,43,29,17,0,,,,,,,
990226zr,low,budy_building,64000,1,6.6w,"2,804",514,17,68,0,,,,,,,
990226zr,low,budy_building,64000,1,6.1w,"6,483","6,086",60,560,1,,,,,,,
990226zr,low,budy_building,64000,0,"9,299",261,64,19,11,0,,,,,,,
990226zr,low,budy_building,64000,0,4.1w,"2,774","3,081",103,211,1,,,,,,,
GDDXCCB778,low,budy_building,51300,3,1.2w,"1,021",89,20,20,1,"达人报价
1,200
CPE
0.31
CPM
42.99
图文报价历史报价
达人报价
431
CPE
0.00
CPM
0.00",1200 0.31 42.99 431 0.00 0.00,,,,,
GDDXCCB778,low,budy_building,51300,3,"3,025",250,23,6,3,0,,,,,,,
GDDXCCB778,low,budy_building,51300,1,1.7w,"1,257",159,48,52,0,,,,,,,
GDDXCCB778,low,budy_building,51300,1,"5,131",389,33,17,11,0,,,,,,,
GDDXCCB778,low,budy_building,51300,3,"8,958","2,048",213,44,60,0,,,,,,,
GDDXCCB778,low,budy_building,51300,1,"5,770",427,46,17,15,0,,,,,,,
GDDXCCB778,low,budy_building,51300,1,1.0w,"2,654",254,43,59,1,,,,,,,
GDDXCCB778,low,budy_building,51300,1,18.1w,1.7w,"1,629",825,2042,0,,,,,,,
GDDXCCB778,low,budy_building,51300,1,19.3w,2.5w,"1,978","1,530",3815,0,,,,,,,
GDDXCCB778,low,budy_building,51300,3,"3,383",407,100,17,23,0,,,,,,,
186169177XHS,low,budy_building,98700,5,2.2w,"1,428",423,65,60,0,"视频报价历史报价
达人报价
6,804
CPE
0.00
CPM
0.00
图文报价历史报价
达人报价
6,100
CPE
1.74
CPM
135.35",6804 0.00 0.00 6100 1.74 135.35,,,,,
186169177XHS,low,budy_building,98700,3,1.3w,824,213,56,31,0,,,,,,,
186169177XHS,low,budy_building,98700,5,15.5w,"8,600","1,057","1,141",720,0,,,,,,,
186169177XHS,low,budy_building,98700,3,7.5w,"4,496",903,427,267,0,,,,,,,
186169177XHS,low,budy_building,98700,3,5.6w,"3,256",613,369,183,0,,,,,,,
186169177XHS,low,budy_building,98700,1,1.0w,"1,092",179,11,14,1,,,,,,,
186169177XHS,low,budy_building,98700,5,2.5w,"1,756",332,42,25,1,,,,,,,
186169177XHS,low,budy_building,98700,1,1.3w,"1,183",229,20,11,1,,,,,,,
186169177XHS,low,budy_building,98700,3,4.2w,"2,739",454,193,126,0,,,,,,,
186169177XHS,low,budy_building,98700,3,4.2w,"2,739",454,193,126,0,,,,,,,
wsxmm1217,low,budy_building,56900,3,"2,673",159,11,27,5,0,"视频报价历史报价
达人报价
6,800
CPE
3.52
CPM
262.89
图文报价历史报价
达人报价
4,000
CPE
0.00
CPM
0.00",6800 3.52 262.89 4000 0.00 0.00,,,,,
wsxmm1217,low,budy_building,56900,3,"5,584",412,67,21,6,1,,,,,,,
wsxmm1217,low,budy_building,56900,5,114,4,1,1,1,0,,,,,,,
